,Action,Portfolio,Price,Timestamp
341,Buy,10116.188576849301,209.11999943791628,2024-06-25 08:00:00+00:00
342,Sell,10161.42858009767,210.2799995212078,2024-06-25 18:00:00+00:00
343,Buy,10161.42858009767,209.07000085340738,2024-06-25 20:00:00+00:00
344,Sell,10161.791774380823,209.1607994241953,2024-06-25 21:00:00+00:00
345,Buy,10161.791774380823,209.25999986423253,2024-06-25 22:00:00+00:00
346,Sell,10161.51177352819,209.1899996510744,2024-06-25 23:00:00+00:00
347,Buy,10161.51177352819,209.1400010665655,2024-06-26 08:00:00+00:00
348,Buy,10164.551766480774,209.8999993047118,2024-06-26 09:00:00+00:00
349,Buy,10162.951776658958,209.70000057698488,2024-06-26 10:00:00+00:00
350,Buy,10178.551782774251,211.00000108659268,2024-06-26 11:00:00+00:00
351,Buy,10180.801751999838,211.14999903496505,2024-06-26 12:00:00+00:00
352,Buy,10166.941788808972,210.38000107991695,2024-06-26 13:00:00+00:00
353,Buy,10191.091750411397,211.52999925146102,2024-06-26 14:00:00+00:00
354,Buy,10229.386776878673,213.19500040221214,2024-06-26 15:00:00+00:00
355,Buy,10256.26178424819,214.27000069699287,2024-06-26 16:00:00+00:00
